Date,Open,High,Low,Close,Adj Close,Volume
2008-07-23,13086.509766,13086.509766,13086.509766,13086.509766,13086.509766,0
2008-07-24,12770.959961,12770.959961,12770.959961,12770.959961,12770.959961,0
2008-07-25,12837.099609,12837.099609,12837.099609,12837.099609,12837.099609,0
2008-07-28,12613.169922,12613.169922,12613.169922,12613.169922,12613.169922,0
2008-07-29,12900.299805,12900.299805,12900.299805,12900.299805,12900.299805,0
2008-07-30,13102.540039,13102.540039,13102.540039,13102.540039,13102.540039,0
2008-07-31,12946.889648,12946.889648,12946.889648,12946.889648,12946.889648,0
2008-08-01,12888.209961,12888.209961,12888.209961,12888.209961,12888.209961,0
2008-08-04,12738.410156,12738.410156,12738.410156,12738.410156,12738.410156,0
2008-08-05,13073.269531,13073.269531,13073.269531,13073.269531,13073.269531,0
2008-08-06,13134.339844,13134.339844,13134.339844,13134.339844,13134.339844,0
2008-08-07,12905.730469,12905.730469,12905.730469,12905.730469,12905.730469,0
2008-08-08,13197.129883,13197.129883,13197.129883,13197.129883,13197.129883,0
2008-08-11,13307.959961,13307.959961,13307.959961,13307.959961,13307.959961,0
2008-08-12,13163.599609,13163.599609,13163.599609,13163.599609,13163.599609,0
2008-08-13,13145.530273,13145.530273,13145.530273,13145.530273,13145.530273,0
2008-08-14,13228.230469,13228.230469,13228.230469,13228.230469,13228.230469,0
2008-08-15,13271.879883,13271.879883,13271.879883,13271.879883,13271.879883,0
2008-08-18,13078.169922,13078.169922,13078.169922,13078.169922,13078.169922,0
2008-08-19,12950.259766,12950.259766,12950.259766,12950.259766,12950.259766,0
2008-08-20,13021.040039,13021.040039,13021.040039,13021.040039,13021.040039,0
2008-08-21,13037.900391,13037.900391,13037.900391,13037.900391,13037.900391,0
2008-08-22,13185.259766,13185.259766,13185.259766,13185.259766,13185.259766,0
2008-08-25,12931.280273,12931.280273,12931.280273,12931.280273,12931.280273,0
2008-08-26,12977.669922,12977.669922,12977.669922,12977.669922,12977.669922,0
2008-08-27,13091.580078,13091.580078,13091.580078,13091.580078,13091.580078,0
2008-08-28,13288.519531,13288.519531,13288.519531,13288.519531,13288.519531,0
2008-08-29,13124.490234,13124.490234,13124.490234,13124.490234,13124.490234,0
2008-09-02,13064.450195,13064.450195,13064.450195,13064.450195,13064.450195,0
2008-09-03,13027.259766,13027.259766,13027.259766,13027.259766,13027.259766,0
2008-09-04,12653.879883,12653.879883,12653.879883,12653.879883,12653.879883,0
2008-09-05,12702.580078,12702.580078,12702.580078,12702.580078,12702.580078,0
2008-09-08,12923.120117,12923.120117,12923.120117,12923.120117,12923.120117,0
2008-09-09,12476.620117,12476.620117,12476.620117,12476.620117,12476.620117,0
2008-09-10,12570.269531,12570.269531,12570.269531,12570.269531,12570.269531,0
2008-09-11,12715.679688,12715.679688,12715.679688,12715.679688,12715.679688,0
2008-09-12,12764.879883,12764.879883,12764.879883,12764.879883,12764.879883,0
2008-09-15,12184.429688,12184.429688,12184.429688,12184.429688,12184.429688,0
2008-09-16,12397.929688,12397.929688,12397.929688,12397.929688,12397.929688,0
2008-09-17,11824.040039,11824.040039,11824.040039,11824.040039,11824.040039,0
2008-09-18,12350.280273,12350.280273,12350.280273,12350.280273,12350.280273,0
2008-09-19,12882.139648,12882.139648,12882.139648,12882.139648,12882.139648,0
2008-09-22,12362.360352,12362.360352,12362.360352,12362.360352,12362.360352,0
2008-09-23,12173.099609,12173.099609,12173.099609,12173.099609,12173.099609,0
2008-09-24,12133.030273,12133.030273,12133.030273,12133.030273,12133.030273,0
2008-09-25,12338.570313,12338.570313,12338.570313,12338.570313,12338.570313,0
2008-09-26,12347.030273,12347.030273,12347.030273,12347.030273,12347.030273,0
2008-09-29,11322.759766,11322.759766,11322.759766,11322.759766,11322.759766,0
2008-09-30,11875.410156,11875.410156,11875.410156,11875.410156,11875.410156,0
2008-10-01,11808.799805,11808.799805,11808.799805,11808.799805,11808.799805,0
2008-10-02,11294.129883,11294.129883,11294.129883,11294.129883,11294.129883,0
2008-10-03,11122.980469,11122.980469,11122.980469,11122.980469,11122.980469,0
2008-10-06,10668.700195,10668.700195,10668.700195,10668.700195,10668.700195,0
2008-10-07,10056.969727,10056.969727,10056.969727,10056.969727,10056.969727,0
2008-10-08,9926.419922,9926.419922,9926.419922,9926.419922,9926.419922,0
2008-10-09,9187.940430,9187.940430,9187.940430,9187.940430,9187.940430,0
2008-10-10,9120.780273,9120.780273,9120.780273,9120.780273,9120.780273,0
2008-10-13,10160.650391,10160.650391,10160.650391,10160.650391,10160.650391,0
2008-10-14,10065.429688,10065.429688,10065.429688,10065.429688,10065.429688,0
2008-10-15,9160.410156,9160.410156,9160.410156,9160.410156,9160.410156,0
2008-10-16,9549.419922,9549.419922,9549.419922,9549.419922,9549.419922,0
2008-10-17,9514.370117,9514.370117,9514.370117,9514.370117,9514.370117,0
2008-10-20,9943.889648,9943.889648,9943.889648,9943.889648,9943.889648,0
2008-10-21,9650.980469,9650.980469,9650.980469,9650.980469,9650.980469,0
2008-10-22,9080.879883,9080.879883,9080.879883,9080.879883,9080.879883,0
2008-10-23,9111.349609,9111.349609,9111.349609,9111.349609,9111.349609,0
2008-10-24,8806.200195,8806.200195,8806.200195,8806.200195,8806.200195,0
2008-10-27,8502.400391,8502.400391,8502.400391,8502.400391,8502.400391,0
2008-10-28,9340.940430,9340.940430,9340.940430,9340.940430,9340.940430,0
2008-10-29,9313.919922,9313.919922,9313.919922,9313.919922,9313.919922,0
2008-10-30,9584.950195,9584.950195,9584.950195,9584.950195,9584.950195,0
2008-10-31,9768.639648,9768.639648,9768.639648,9768.639648,9768.639648,0
2008-11-03,9750.139648,9750.139648,9750.139648,9750.139648,9750.139648,0
2008-11-04,10105.200195,10105.200195,10105.200195,10105.200195,10105.200195,0
2008-11-05,9582.980469,9582.980469,9582.980469,9582.980469,9582.980469,0
2008-11-06,9114.080078,9114.080078,9114.080078,9114.080078,9114.080078,0
2008-11-07,9358.299805,9358.299805,9358.299805,9358.299805,9358.299805,0
2008-11-10,9220.169922,9220.169922,9220.169922,9220.169922,9220.169922,0
2008-11-11,9009.459961,9009.459961,9009.459961,9009.459961,9009.459961,0
2008-11-12,8536.480469,8536.480469,8536.480469,8536.480469,8536.480469,0
2008-11-13,9120.049805,9120.049805,9120.049805,9120.049805,9120.049805,0
2008-11-14,8721.879883,8721.879883,8721.879883,8721.879883,8721.879883,0
2008-11-17,8508.730469,8508.730469,8508.730469,8508.730469,8508.730469,0
2008-11-18,8565.040039,8565.040039,8565.040039,8565.040039,8565.040039,0
2008-11-19,8014.250000,8014.250000,8014.250000,8014.250000,8014.250000,0
2008-11-20,7471.439941,7471.439941,7471.439941,7471.439941,7471.439941,0
2008-11-21,7926.060059,7926.060059,7926.060059,7926.060059,7926.060059,0
2008-11-24,8438.519531,8438.519531,8438.519531,8438.519531,8438.519531,0
2008-11-25,8518.030273,8518.030273,8518.030273,8518.030273,8518.030273,0
2008-11-26,8853.889648,8853.889648,8853.889648,8853.889648,8853.889648,0
2008-11-28,8945.219727,8945.219727,8945.219727,8945.219727,8945.219727,0
2008-12-01,8127.149902,8127.149902,8127.149902,8127.149902,8127.149902,0
2008-12-02,8455.250000,8455.250000,8455.250000,8455.250000,8455.250000,0
2008-12-03,8673.679688,8673.679688,8673.679688,8673.679688,8673.679688,0
2008-12-04,8417.940430,8417.940430,8417.940430,8417.940430,8417.940430,0
2008-12-05,8737.139648,8737.139648,8737.139648,8737.139648,8737.139648,0
2008-12-08,9077.490234,9077.490234,9077.490234,9077.490234,9077.490234,0
2008-12-09,8870.339844,8870.339844,8870.339844,8870.339844,8870.339844,0
2008-12-10,8990.000000,8990.000000,8990.000000,8990.000000,8990.000000,0
2008-12-11,8705.209961,8705.209961,8705.209961,8705.209961,8705.209961,0
2008-12-12,8800.179688,8800.179688,8800.179688,8800.179688,8800.179688,0
2008-12-15,8664.330078,8664.330078,8664.330078,8664.330078,8664.330078,0
2008-12-16,9118.690430,9118.690430,9118.690430,9118.690430,9118.690430,0
2008-12-17,9066.320313,9066.320313,9066.320313,9066.320313,9066.320313,0
2008-12-18,8885.530273,8885.530273,8885.530273,8885.530273,8885.530273,0
2008-12-19,8923.969727,8923.969727,8923.969727,8923.969727,8923.969727,0
2008-12-22,8751.580078,8751.580078,8751.580078,8751.580078,8751.580078,0
2008-12-23,8673.879883,8673.879883,8673.879883,8673.879883,8673.879883,0
2008-12-24,8711.690430,8711.690430,8711.690430,8711.690430,8711.690430,0
2008-12-26,8769.349609,8769.349609,8769.349609,8769.349609,8769.349609,0
2008-12-29,8711.349609,8711.349609,8711.349609,8711.349609,8711.349609,0
2008-12-30,8929.490234,8929.490234,8929.490234,8929.490234,8929.490234,0
2008-12-31,9087.169922,9087.169922,9087.169922,9087.169922,9087.169922,0
2009-01-02,9364.549805,9364.549805,9364.549805,9364.549805,9364.549805,0
2009-01-05,9343.129883,9343.129883,9343.129883,9343.129883,9343.129883,0
2009-01-06,9437.299805,9437.299805,9437.299805,9437.299805,9437.299805,0
2009-01-07,9151.620117,9151.620117,9151.620117,9151.620117,9151.620117,0
2009-01-08,9194.480469,9194.480469,9194.480469,9194.480469,9194.480469,0
2009-01-09,8985.799805,8985.799805,8985.799805,8985.799805,8985.799805,0
2009-01-12,8772.110352,8772.110352,8772.110352,8772.110352,8772.110352,0
2009-01-13,8804.040039,8804.040039,8804.040039,8804.040039,8804.040039,0
2009-01-14,8500.910156,8500.910156,8500.910156,8500.910156,8500.910156,0
2009-01-15,8536.469727,8536.469727,8536.469727,8536.469727,8536.469727,0
2009-01-16,8603.169922,8603.169922,8603.169922,8603.169922,8603.169922,0
2009-01-20,8133.250000,8133.250000,8133.250000,8133.250000,8133.250000,0
2009-01-21,8484.370117,8484.370117,8484.370117,8484.370117,8484.370117,0
2009-01-22,8338.009766,8338.009766,8338.009766,8338.009766,8338.009766,0
2009-01-23,8385.129883,8385.129883,8385.129883,8385.129883,8385.129883,0
2009-01-26,8431.679688,8431.679688,8431.679688,8431.679688,8431.679688,0
2009-01-27,8524.250000,8524.250000,8524.250000,8524.250000,8524.250000,0
2009-01-28,8813.839844,8813.839844,8813.839844,8813.839844,8813.839844,0
2009-01-29,8519.059570,8519.059570,8519.059570,8519.059570,8519.059570,0
2009-01-30,8335.639648,8335.639648,8335.639648,8335.639648,8335.639648,0
2009-02-02,8343.780273,8343.780273,8343.780273,8343.780273,8343.780273,0
2009-02-03,8463.129883,8463.129883,8463.129883,8463.129883,8463.129883,0
2009-02-04,8409.290039,8409.290039,8409.290039,8409.290039,8409.290039,0
2009-02-05,8544.900391,8544.900391,8544.900391,8544.900391,8544.900391,0
2009-02-06,8785.099609,8785.099609,8785.099609,8785.099609,8785.099609,0
2009-02-09,8789.500000,8789.500000,8789.500000,8789.500000,8789.500000,0
2009-02-10,8379.290039,8379.290039,8379.290039,8379.290039,8379.290039,0
2009-02-11,8440.179688,8440.179688,8440.179688,8440.179688,8440.179688,0
2009-02-12,8462.419922,8462.419922,8462.419922,8462.419922,8462.419922,0
2009-02-13,8385.740234,8385.740234,8385.740234,8385.740234,8385.740234,0
2009-02-17,8014.120117,8014.120117,8014.120117,8014.120117,8014.120117,0
2009-02-18,7988.850098,7988.850098,7988.850098,7988.850098,7988.850098,0
2009-02-19,7889.229980,7889.229980,7889.229980,7889.229980,7889.229980,0
2009-02-20,7802.200195,7802.200195,7802.200195,7802.200195,7802.200195,0
2009-02-23,7525.620117,7525.620117,7525.620117,7525.620117,7525.620117,0
2009-02-24,7833.850098,7833.850098,7833.850098,7833.850098,7833.850098,0
2009-02-25,7741.799805,7741.799805,7741.799805,7741.799805,7741.799805,0
2009-02-26,7619.390137,7619.390137,7619.390137,7619.390137,7619.390137,0
2009-02-27,7473.970215,7473.970215,7473.970215,7473.970215,7473.970215,0
2009-03-02,7113.850098,7113.850098,7113.850098,7113.850098,7113.850098,0
2009-03-03,7063.689941,7063.689941,7063.689941,7063.689941,7063.689941,0
2009-03-04,7235.620117,7235.620117,7235.620117,7235.620117,7235.620117,0
2009-03-05,6926.379883,6926.379883,6926.379883,6926.379883,6926.379883,0
2009-03-06,6935.379883,6935.379883,6935.379883,6935.379883,6935.379883,0
2009-03-09,6858.430176,6858.430176,6858.430176,6858.430176,6858.430176,0
2009-03-10,7302.680176,7302.680176,7302.680176,7302.680176,7302.680176,0
2009-03-11,7318.750000,7318.750000,7318.750000,7318.750000,7318.750000,0
2009-03-12,7626.270020,7626.270020,7626.270020,7626.270020,7626.270020,0
2009-03-13,7675.939941,7675.939941,7675.939941,7675.939941,7675.939941,0
2009-03-16,7630.339844,7630.339844,7630.339844,7630.339844,7630.339844,0
2009-03-17,7877.830078,7877.830078,7877.830078,7877.830078,7877.830078,0
2009-03-18,8050.520020,8050.520020,8050.520020,8050.520020,8050.520020,0
2009-03-19,7964.839844,7964.839844,7964.839844,7964.839844,7964.839844,0
2009-03-20,7801.350098,7801.350098,7801.350098,7801.350098,7801.350098,0
2009-03-23,8347.830078,8347.830078,8347.830078,8347.830078,8347.830078,0
2009-03-24,8168.790039,8168.790039,8168.790039,8168.790039,8168.790039,0
2009-03-25,8255.200195,8255.200195,8255.200195,8255.200195,8255.200195,0
2009-03-26,8477.009766,8477.009766,8477.009766,8477.009766,8477.009766,0
2009-03-27,8286.830078,8286.830078,8286.830078,8286.830078,8286.830078,0
2009-03-30,8001.859863,8001.859863,8001.859863,8001.859863,8001.859863,0
2009-03-31,8113.140137,8113.140137,8113.140137,8113.140137,8113.140137,0
2009-04-01,8054.390137,8265.240234,7962.040039,8242.589844,8242.589844,0
2009-04-02,8315.259766,8611.280273,8242.099609,8500.540039,8500.540039,0
2009-04-03,8504.169922,8599.280273,8426.320313,8599.280273,8599.280273,0
2009-04-06,8555.589844,8599.009766,8392.629883,8518.150391,8518.150391,0
2009-04-07,8454.290039,8514.080078,8292.490234,8299.629883,8299.629883,0
2009-04-08,8326.349609,8432.009766,8293.549805,8409.360352,8409.360352,0
2009-04-09,8473.400391,8746.179688,8409.349609,8744.599609,8744.599609,0
2009-04-13,8721.009766,8821.049805,8621.500000,8769.419922,8769.419922,0
2009-04-14,8742.139648,8769.330078,8575.400391,8585.400391,8585.400391,0
2009-04-15,8566.419922,8699.150391,8525.299805,8691.629883,8691.629883,0
2009-04-16,8727.299805,8891.150391,8645.160156,8840.589844,8840.589844,0
2009-04-17,8840.490234,8948.450195,8792.019531,8890.259766,8890.259766,0
2009-04-20,8821.589844,8890.259766,8496.580078,8496.580078,8496.580078,0
2009-04-21,8479.269531,8695.330078,8441.030273,8695.330078,8695.330078,0
2009-04-22,8666.250000,8828.309570,8594.099609,8640.389648,8640.389648,0
2009-04-23,8653.620117,8710.379883,8543.089844,8699.559570,8699.559570,0
2009-04-24,8725.599609,8917.160156,8700.490234,8863.049805,8863.049805,0
2009-04-27,8812.030273,8887.320313,8738.089844,8768.219727,8768.219727,0
2009-04-28,8730.040039,8849.469727,8661.469727,8753.240234,8753.240234,0
2009-04-29,8785.519531,9045.379883,8752.530273,8966.599609,8966.599609,0
2009-04-30,9003.610352,9133.370117,8925.309570,8962.610352,8962.610352,0
2009-05-01,8964.240234,9042.030273,8893.080078,8998.400391,8998.400391,0
2009-05-04,9031.370117,9316.629883,8998.339844,9313.019531,9313.019531,0
2009-05-05,9297.580078,9318.070313,9205.490234,9279.429688,9279.429688,0
2009-05-06,9317.309570,9422.280273,9258.370117,9413.129883,9413.129883,0
2009-05-07,9451.059570,9520.059570,9208.370117,9269.500000,9269.500000,0
2009-05-08,9307.080078,9515.009766,9269.469727,9509.360352,9509.360352,0
2009-05-11,9444.469727,9507.040039,9290.459961,9309.330078,9309.330078,0
2009-05-12,9335.080078,9381.370117,9157.620117,9279.610352,9279.610352,0
2009-05-13,9230.450195,9279.610352,8992.219727,8999.240234,8999.240234,0
2009-05-14,9011.589844,9160.330078,8979.200195,9103.179688,9103.179688,0
2009-05-15,9100.009766,9150.040039,8964.509766,9004.110352,9004.110352,0
2009-05-18,9050.570313,9298.049805,9004.179688,9294.559570,9294.559570,0
2009-05-19,9287.379883,9366.540039,9239.410156,9282.469727,9282.469727,0
2009-05-20,9310.129883,9464.450195,9218.070313,9241.120117,9241.120117,0
2009-05-21,9205.099609,9241.349609,8995.240234,9085.049805,9085.049805,0
2009-05-22,9099.309570,9165.410156,9038.349609,9068.379883,9068.379883,0
2009-05-26,9032.070313,9335.349609,9011.580078,9323.190430,9323.190430,0
2009-05-27,9318.599609,9525.139648,9144.599609,9154.410156,9154.410156,0
2009-05-28,9186.360352,9300.230469,9085.209961,9279.049805,9279.049805,0
2009-05-29,9291.330078,9413.509766,9249.330078,9408.290039,9408.290039,0
2009-06-01,9407.459961,9709.429688,9407.459961,9666.240234,9666.240234,0
